run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R03_web_news_routing,False,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'AI news'"
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,lookup,False,False,False,expected no tool call
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,lookup,False,False,False,missing tool call clarify; extra tool call lookup
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R13_parallel_web_and_tweets,False,wrong_tool,missing_tool_call,lookup|social_search,social_search,False,False,False,missing tool call lookup
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,M02_carryover_timeframe,True,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'robotics', got 'robotics news today'"
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_nvidia_20260729T150453775297,v0,v0+pf0c107a9d7a1+t011c271ef0bb,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R03_web_news_routing,False,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'AI news today'"
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R13_parallel_web_and_tweets,False,wrong_tool,missing_tool_call,lookup|social_search,lookup,False,False,False,missing tool call social_search
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_nvidia_20260729T150936861422,v1,v1+p0aa16a42a998+t011c271ef0bb,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R13_parallel_web_and_tweets,False,wrong_tool,missing_tool_call,lookup|social_search,clarify,False,False,False,missing tool call lookup; missing tool call social_search; extra tool call clarify
v2_B_base_nvidia_20260729T151343730025,v2,v2+p0aa16a42a998+t92c5d468ac0b,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
