version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,none (baseline),v0+pf0c107a9d7a1+t011c271ef0bb,f0c107a9d7a1,011c271ef0bb,Baseline do starter cung cap; chua sua gi,Prompt starter cam hoi lai va ep hanh dong ngay nen se fail toan bo nhom boundary,case_accuracy,,0.65,runs/v0_B_base_nvidia_20260729T150453775297.json
v1,team,artifacts/system_prompt.md,v1+p0aa16a42a998+t011c271ef0bb,0aa16a42a998,011c271ef0bb,Viet lai quy tac hanh vi trong system prompt; tools.yaml giu nguyen (tools_hash khong doi),"R08/R10/R11/R12 fail vi prompt v0 noi 'do not ask them back, just make a sensible guess' va 'just go ahead and do it'. Thay bang quy tac hoi-truoc-khi-doan + xac-nhan-truoc-khi-hanh-dong thi 4 case nay se pass",case_accuracy,0.65,0.85,runs/v1_B_base_nvidia_20260729T150936861422.json
v2,team,artifacts/tools.yaml,v2+p0aa16a42a998+t92c5d468ac0b,0aa16a42a998,92c5d468ac0b,Viet lai description va convention argument cho 10 tool; system_prompt giu nguyen (prompt_hash khong doi),"R03/M02 fail vi description chi ghi 'query: Truy van' nen agent nhet ca cau vao query ('AI news today'). Noi ro query la keyword ngan va khong lap lai thong tin da co o topic/timeframe thi se pass",case_accuracy,0.85,0.90,runs/v2_B_base_nvidia_20260729T151343730025.json
v3,team,artifacts/system_prompt.md,v3+p9ea60fd47901+t92c5d468ac0b,9ea60fd47901,92c5d468ac0b,Them quy tac gioi han viec dung clarify vao system prompt; tools.yaml giu nguyen,"R12/R13 fail vi prompt v1 day agent hoi lai nhung khong day gioi han: R12 hoi xin noi dung thay vi xin phe duyet, R13 hoi ve limit/search_type von da co default. Them quy tac 'confirmation di truoc moi cau hoi khac' + 'khong hoi ve arg da co default'",case_accuracy,0.90,0.95,runs/v3_B_base_nvidia_20260729T151709276401.json
v4,team,artifacts/system_prompt.md,v4+pac197bc844f6+t92c5d468ac0b,ac197bc844f6,92c5d468ac0b,Dua quy tac multi-tool len dau prompt va viet lai thanh chi dan cu the; tools.yaml giu nguyen,"R13 fail vi chi goi 1 trong 2 tool. Neu quy tac 'dem so nhu cau roi phat 1 tool call cho moi nhu cau' duoc dat som va cu the hon thi R13 se pass. KET QUA: khong doi (0.95). Prompt khong phai nguyen nhan",case_accuracy,0.95,0.95,runs/v4_B_base_nvidia_20260729T152003022520.json
v5,team,artifacts/tools.yaml,v5+pac197bc844f6+t6576e6fd32a0,ac197bc844f6,6576e6fd32a0,Them 4 declaration tool do nhom tu viet (github_repos wiki dedupe_rank save_digest) nang tong so tu 10 len 14; system_prompt giu nguyen,"Them 4 tool moi vao tools.yaml co the lam nhieu routing core (vi du wiki cuop case cua lookup). Kiem tra regression: metric phai giu nguyen 0.95. KET QUA: giu nguyen, khong tool moi nao cuop case base",case_accuracy,0.95,0.95,runs/v5_B_base_nvidia_20260729T152334229156.json
v6-nemotron,team,none (doi model, artifact giu nguyen),v6-nemotron+pac197bc844f6+t6576e6fd32a0,ac197bc844f6,6576e6fd32a0,Thi nghiem co kiem soat: giu nguyen prompt_hash va tools_hash cua v5 chi doi model sang nvidia/llama-3.3-nemotron-super-49b-v1.5,"R13 co the la gioi han cua gpt-oss-120b chu khong phai loi prompt (probe cho thay model nay khong bao gio phat 2 tool call trong 1 response). KET QUA: R13 PASS tren nemotron voi dung 2 call song song - gia thuyet dung. Nhung nemotron hong R01/R12/M03 do hoi lai qua nhieu nen tong the te hon: 0.85 < 0.95. Quyet dinh giu gpt-oss-120b",case_accuracy,0.95,0.85,runs/v6-nemotron_B_base_nvidia_20260729T153425432651.json
v5,team,artifacts/tools.yaml,v5+pac197bc844f6+t6576e6fd32a0,ac197bc844f6,6576e6fd32a0,Chay suite group lan dau tren 10 case tu viet cua nhom,"Team eval phai bat duoc loi ma base eval bo sot. KET QUA: 8/10 - G03 (save_digest khong xin phe duyet yes_no) va G06 (hoi keyword du suy duoc tu ngu canh) deu la loi that",case_accuracy,,0.80,runs/v5_B_group_nvidia_20260729T152420036739.json
v7,team,artifacts/system_prompt.md,v7+p111e914262d9+t6576e6fd32a0,111e914262d9,6576e6fd32a0,Them quy tac suy argument tu ngu canh va giu confirmation gate ke ca khi chua co noi dung,"G03/G06 fail vi agent hoi lai qua tay. KET QUA: G03 pass nhung G10 REGRESS - quy tac suy tu ngu canh khien agent goi tool ca khi nguoi dung hoi ve chinh no. Tong van 0.80, danh doi khong loi",case_accuracy,0.80,0.80,runs/v7_B_group_nvidia_20260729T152651074553.json
v8,team,artifacts/system_prompt.md,v8+pd749a31bc1bd+t6576e6fd32a0,d749a31bc1bd,6576e6fd32a0,Rao lai quy tac suy ngu canh: no chi quyet dinh TIM GI chu khong quyet dinh CO TIM HAY KHONG,"Neu quy tac scope duoc uu tien truoc quy tac suy ngu canh thi G10 se pass lai ma G03 van giu. KET QUA: 9/10 - ca G03 G06 G10 deu pass",case_accuracy,0.80,0.90,runs/v8_B_group_nvidia_20260729T152827376137.json
